Student Record,"We get student record from students itself. During admission process students are asked to fill the application form. This form contains all the records of student. This record is used for multiple purposes like communication, student education records, and many more.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Entities,Data Type,,,,,,,,,,,,,,,,,,,,,
Student ID,INT (50),PK,,,,,,,,,,,,,,,,,,,,
Student Name,Varchar(100),,,,,,,,,,,,,,,,,,,,,
Student Class,INT (5),,,,,,,,,,,,,,,,,,,,,
Student Phone,INT(15),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Student ID,Student Name,Student Class,Student Phone,,,,,,,,,,,,,,,,,,,
12345,Ravi,8,4087171997,,,,,,,,,,,,,,,,,,,
45678,Alex,10,7176547998,,,,,,,,,,,,,,,,,,,
98745,John,5,3034587290,,,,,,,,,,,,,,,,,,,
